[Ep 37] Threat: 0.00, Dist: 0.00, Survive: 6.87, HP: -5.00, End: -1.54, Final: 0.83, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 38] Threat: 0.00, Dist: 0.00, Survive: 4.00, HP: -5.00, End: -1.73, Final: -2.23, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 39] Threat: 0.00, Dist: 0.00, Survive: 6.95, HP: -5.00, End: -1.54, Final: 0.91, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 40] Threat: 0.00, Dist: 0.00, Survive: 6.85, HP: -5.00, End: -1.54, Final: 0.81, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 41] Threat: 0.00, Dist: 0.00, Survive: 5.19, HP: -5.00, End: -1.65, Final: -0.96, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 42] Threat: 0.00, Dist: 0.00, Survive: 2.88, HP: -5.00, End: -1.81, Final: -3.43, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 43] Threat: 0.00, Dist: 0.00, Survive: 4.17, HP: -5.00, End: -1.72, Final: -2.05, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 44] Threat: 0.00, Dist: 0.00, Survive: 5.67, HP: -5.00, End: -1.62, Final: -0.45, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 45] Threat: 0.00, Dist: 0.00, Survive: 6.84, HP: -5.00, End: -1.54, Final: 0.80, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 46] Threat: 0.00, Dist: 0.00, Survive: 4.11, HP: -5.00, End: -1.73, Final: -2.12, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 47] Threat: 0.00, Dist: 0.00, Survive: 6.21, HP: -5.00, End: -1.59, Final: 0.12, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 48] Threat: 0.00, Dist: 0.00, Survive: 4.28, HP: -5.00, End: -1.71, Final: -1.93, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 49] Threat: 0.00, Dist: 0.00, Survive: 6.00, HP: -5.00, End: -1.60, Final: -0.10, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 50] Threat: 0.00, Dist: 0.00, Survive: 5.23, HP: -5.00, End: -1.65, Final: -0.92, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 51] Threat: 0.00, Dist: 0.00, Survive: 7.21, HP: -5.00, End: -1.52, Final: 1.19, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 52] Threat: 0.00, Dist: 0.00, Survive: 6.05, HP: -5.00, End: -1.60, Final: -0.05, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 53] Threat: 0.00, Dist: 0.00, Survive: 4.27, HP: -5.00, End: -1.72, Final: -1.95, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 54] Threat: 0.00, Dist: 0.00, Survive: 6.69, HP: -5.00, End: -1.55, Final: 0.64, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 55] Threat: 0.00, Dist: 0.00, Survive: 5.28, HP: -5.00, End: -1.65, Final: -0.87, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 56] Threat: 0.00, Dist: 0.00, Survive: 5.51, HP: -5.00, End: -1.63, Final: -0.62, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 57] Threat: 0.00, Dist: 0.00, Survive: 5.68, HP: -5.00, End: -1.62, Final: -0.44, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 58] Threat: 0.00, Dist: 0.00, Survive: 7.30, HP: -5.00, End: -1.51, Final: 1.29, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 59] Threat: 0.00, Dist: 0.00, Survive: 5.66, HP: -5.00, End: -1.62, Final: -0.46, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 60] Threat: 0.00, Dist: 0.00, Survive: 7.30, HP: -5.00, End: -1.51, Final: 1.29, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 61] Threat: 0.00, Dist: 0.00, Survive: 5.90, HP: -5.00, End: -1.61, Final: -0.21, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 62] Threat: 0.00, Dist: 0.00, Survive: 5.46, HP: -5.00, End: -1.64, Final: -0.68, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 63] Threat: 0.00, Dist: 0.00, Survive: 7.28, HP: -5.00, End: -1.51, Final: 1.27, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 64] Threat: 0.00, Dist: 0.00, Survive: 7.50, HP: -5.00, End: -1.50, Final: 1.50, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 65] Threat: 0.00, Dist: 0.00, Survive: 5.33, HP: -5.00, End: -1.64, Final: -0.81, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 66] Threat: 0.00, Dist: 0.00, Survive: 4.38, HP: -5.00, End: -1.71, Final: -1.83, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 67] Threat: 0.00, Dist: 0.00, Survive: 5.42, HP: -5.00, End: -1.64, Final: -0.72, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 68] Threat: 0.00, Dist: 0.00, Survive: 5.40, HP: -5.00, End: -1.64, Final: -0.74, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 69] Threat: 0.00, Dist: 0.00, Survive: 6.98, HP: -5.00, End: -1.53, Final: 0.95, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 70] Threat: 0.00, Dist: 0.00, Survive: 3.92, HP: -5.00, End: -1.74, Final: -2.32, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 71] Threat: 0.00, Dist: 0.00, Survive: 4.42, HP: -5.00, End: -1.71, Final: -1.79, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 72] Threat: 0.00, Dist: 0.00, Survive: 11.84, HP: -5.00, End: -1.21, Final: 6.13, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 73] Threat: 0.00, Dist: 0.00, Survive: 5.44, HP: -5.00, End: -1.64, Final: -0.70, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 74] Threat: 0.00, Dist: 0.00, Survive: 5.56, HP: -5.00, End: -1.63, Final: -0.57, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 75] Threat: 0.00, Dist: 0.00, Survive: 9.91, HP: -5.00, End: -1.34, Final: 4.07, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 76] Threat: 0.00, Dist: 0.00, Survive: 7.10, HP: -5.00, End: -1.53, Final: 1.07, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 77] Threat: 0.00, Dist: 0.00, Survive: 4.50, HP: -5.00, End: -1.70, Final: -1.70, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 78] Threat: 0.00, Dist: 0.00, Survive: 11.50, HP: -5.00, End: -1.23, Final: 5.77, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 79] Threat: 0.00, Dist: 0.00, Survive: 5.43, HP: -5.00, End: -1.64, Final: -0.71, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 80] Threat: 0.00, Dist: 0.00, Survive: 5.67, HP: -5.00, End: -1.62, Final: -0.45, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 81] Threat: 0.00, Dist: 0.00, Survive: 9.00, HP: -5.00, End: -1.40, Final: 3.10, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 82] Threat: 0.00, Dist: 0.00, Survive: 4.12, HP: -5.00, End: -1.73, Final: -2.11, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 83] Threat: 0.00, Dist: 0.00, Survive: 8.50, HP: -5.00, End: -1.43, Final: 2.57, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 84] Threat: 0.00, Dist: 0.00, Survive: 5.66, HP: -5.00, End: -1.62, Final: -0.46, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 85] Threat: 0.00, Dist: 0.00, Survive: 6.06, HP: -5.00, End: -1.60, Final: -0.04, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 86] Threat: 0.00, Dist: 0.00, Survive: 4.51, HP: -5.00, End: -1.70, Final: -1.69, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 87] Threat: 0.00, Dist: 0.00, Survive: 4.50, HP: -5.00, End: -1.70, Final: -1.70, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 88] Threat: 0.00, Dist: 0.00, Survive: 10.16, HP: -5.00, End: -1.32, Final: 4.34, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 89] Threat: 0.00, Dist: 0.00, Survive: 8.66, HP: -5.00, End: -1.42, Final: 2.74, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 90] Threat: 0.00, Dist: 0.00, Survive: 3.00, HP: -5.00, End: -1.80, Final: -3.30, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 91] Threat: 0.00, Dist: 0.00, Survive: 9.62, HP: -5.00, End: -1.36, Final: 3.76, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 92] Threat: 0.00, Dist: 0.00, Survive: 4.37, HP: -5.00, End: -1.71, Final: -1.84, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 93] Threat: 0.00, Dist: 0.00, Survive: 7.00, HP: -5.00, End: -1.53, Final: 0.97, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 94] Threat: 0.00, Dist: 0.00, Survive: 7.40, HP: -5.00, End: -1.51, Final: 1.39, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 95] Threat: 0.00, Dist: 0.00, Survive: 5.70, HP: -5.00, End: -1.62, Final: -0.42, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 96] Threat: 0.00, Dist: 0.00, Survive: 4.51, HP: -5.00, End: -1.70, Final: -1.69, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 97] Threat: 0.00, Dist: 0.00, Survive: 8.38, HP: -5.00, End: -1.44, Final: 2.44, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 98] Threat: 0.00, Dist: 0.00, Survive: 6.22, HP: -5.00, End: -1.59, Final: 0.13, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 99] Threat: 0.00, Dist: 0.00, Survive: 6.00, HP: -5.00, End: -1.60, Final: -0.10, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 100] Threat: 0.00, Dist: 0.00, Survive: 4.26, HP: -5.00, End: -1.72, Final: -1.96, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 101] Threat: 0.00, Dist: 0.00, Survive: 7.30, HP: -5.00, End: -1.51, Final: 1.29, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 102] Threat: 0.00, Dist: 0.00, Survive: 8.43, HP: -5.00, End: -1.44, Final: 2.49, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 103] Threat: 0.00, Dist: 0.00, Survive: 7.00, HP: -5.00, End: -1.53, Final: 0.97, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 104] Threat: 0.00, Dist: 0.00, Survive: 5.36, HP: -5.00, End: -1.64, Final: -0.78, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 105] Threat: 0.00, Dist: 0.00, Survive: 8.68, HP: -5.00, End: -1.42, Final: 2.76, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 106] Threat: 0.00, Dist: 0.00, Survive: 5.50, HP: -5.00, End: -1.63, Final: -0.63, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 107] Threat: 0.00, Dist: 0.00, Survive: 8.39, HP: -5.00, End: -1.44, Final: 2.45, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 108] Threat: 0.00, Dist: 0.00, Survive: 8.54, HP: -5.00, End: -1.43, Final: 2.61, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 109] Threat: 0.00, Dist: 0.00, Survive: 11.13, HP: -5.00, End: -1.26, Final: 5.37, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 110] Threat: 0.00, Dist: 0.00, Survive: 7.10, HP: -5.00, End: -1.53, Final: 1.07, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 111] Threat: 0.00, Dist: 0.00, Survive: 4.23, HP: -5.00, End: -1.72, Final: -1.99, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 112] Threat: 0.00, Dist: 0.00, Survive: 5.72, HP: -5.00, End: -1.62, Final: -0.40, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 113] Threat: 0.00, Dist: 0.00, Survive: 5.29, HP: -5.00, End: -1.65, Final: -0.86, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 114] Threat: 0.00, Dist: 0.00, Survive: 5.69, HP: -5.00, End: -1.62, Final: -0.43, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 115] Threat: 0.00, Dist: 0.00, Survive: 13.00, HP: -5.00, End: -1.13, Final: 7.37, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 116] Threat: 0.00, Dist: 0.00, Survive: 10.42, HP: -5.00, End: -1.31, Final: 4.61, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 117] Threat: 0.00, Dist: 0.00, Survive: 5.84, HP: -5.00, End: -1.61, Final: -0.27, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 118] Threat: 0.00, Dist: 0.00, Survive: 4.44, HP: -5.00, End: -1.70, Final: -1.76, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 119] Threat: 0.00, Dist: 0.00, Survive: 8.46, HP: -5.00, End: -1.44, Final: 2.52, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 120] Threat: 0.00, Dist: 0.00, Survive: 9.00, HP: -5.00, End: -1.40, Final: 3.10, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 121] Threat: 0.00, Dist: 0.00, Survive: 3.83, HP: -5.00, End: -1.74, Final: -2.41, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 122] Threat: 0.00, Dist: 0.00, Survive: 5.27, HP: -5.00, End: -1.65, Final: -0.88, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 123] Threat: 0.00, Dist: 0.00, Survive: 5.46, HP: -5.00, End: -1.64, Final: -0.68, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 124] Threat: 0.00, Dist: 0.00, Survive: 8.85, HP: -5.00, End: -1.41, Final: 2.94, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 125] Threat: 0.00, Dist: 0.00, Survive: 4.80, HP: -5.00, End: -1.68, Final: -1.38, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 126] Threat: 0.00, Dist: 0.00, Survive: 8.58, HP: -5.00, End: -1.43, Final: 2.65, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 127] Threat: 0.00, Dist: 0.00, Survive: 4.23, HP: -5.00, End: -1.72, Final: -1.99, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 128] Threat: 0.00, Dist: 0.00, Survive: 4.33, HP: -5.00, End: -1.71, Final: -1.88, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 129] Threat: 0.00, Dist: 0.00, Survive: 9.66, HP: -5.00, End: -1.36, Final: 3.80, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 130] Threat: 0.00, Dist: 0.00, Survive: 8.27, HP: -5.00, End: -1.45, Final: 2.32, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 131] Threat: 0.00, Dist: 0.00, Survive: 6.91, HP: -5.00, End: -1.54, Final: 0.87, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 132] Threat: 0.00, Dist: 0.00, Survive: 5.88, HP: -5.00, End: -1.61, Final: -0.23, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 133] Threat: 0.00, Dist: 0.00, Survive: 5.33, HP: -5.00, End: -1.64, Final: -0.81, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 134] Threat: 0.00, Dist: 0.00, Survive: 4.51, HP: -5.00, End: -1.70, Final: -1.69, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 135] Threat: 0.00, Dist: 0.00, Survive: 6.78, HP: -5.00, End: -1.55, Final: 0.73, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 136] Threat: 0.00, Dist: 0.00, Survive: 8.64, HP: -5.00, End: -1.42, Final: 2.72, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 137] Threat: 0.00, Dist: 0.00, Survive: 8.19, HP: -5.00, End: -1.45, Final: 2.24, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 138] Threat: 0.00, Dist: 0.00, Survive: 3.17, HP: -5.00, End: -1.79, Final: -3.12, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 139] Threat: 0.00, Dist: 0.00, Survive: 3.07, HP: -5.00, End: -1.80, Final: -3.23, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 140] Threat: 0.00, Dist: 0.00, Survive: 9.00, HP: -5.00, End: -1.40, Final: 3.10, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 141] Threat: 0.00, Dist: 0.00, Survive: 5.34, HP: -5.00, End: -1.64, Final: -0.80, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
