[Ep 37] Threat: -6.39, Dist: -5.56, Survive: 2.79, HP: -5.00, End: -1.63, Final: -15.29, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 38] Threat: -7.67, Dist: -3.96, Survive: 2.25, HP: -5.00, End: -1.70, Final: -15.58, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 39] Threat: -6.30, Dist: -5.19, Survive: 3.50, HP: -5.00, End: -1.53, Final: -14.03, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 40] Threat: -3.89, Dist: -3.93, Survive: 5.09, HP: -5.00, End: -1.32, Final: -8.56, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 41] Threat: -5.12, Dist: -7.27, Survive: 1.91, HP: -5.00, End: -1.74, Final: -16.72, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 42] Threat: -4.87, Dist: -3.63, Survive: 4.08, HP: -5.00, End: -1.46, Final: -10.39, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 43] Threat: -5.15, Dist: -5.68, Survive: 2.88, HP: -5.00, End: -1.62, Final: -14.07, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 44] Threat: -4.41, Dist: -6.57, Survive: 3.59, HP: -5.00, End: -1.52, Final: -13.41, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 45] Threat: -5.51, Dist: -4.44, Survive: 3.67, HP: -5.00, End: -1.51, Final: -12.30, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 46] Threat: -4.45, Dist: -6.79, Survive: 1.91, HP: -5.00, End: -1.74, Final: -15.57, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 47] Threat: -3.42, Dist: -6.17, Survive: 5.00, HP: -5.00, End: -1.33, Final: -10.43, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 48] Threat: -5.01, Dist: -5.16, Survive: 3.34, HP: -5.00, End: -1.56, Final: -12.89, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 49] Threat: -3.98, Dist: -7.70, Survive: 2.05, HP: -5.00, End: -1.73, Final: -15.86, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 50] Threat: -5.78, Dist: -7.68, Survive: 1.85, HP: -5.00, End: -1.75, Final: -17.85, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 51] Threat: -4.73, Dist: -4.35, Survive: 4.88, HP: -5.00, End: -1.35, Final: -10.06, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 52] Threat: -9.60, Dist: -7.21, Survive: 1.94, HP: -5.00, End: -1.74, Final: -21.11, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 53] Threat: -5.98, Dist: -4.44, Survive: 4.22, HP: -5.00, End: -1.44, Final: -12.14, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 54] Threat: -4.28, Dist: -4.10, Survive: 5.60, HP: -5.00, End: -1.25, Final: -8.53, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 55] Threat: -5.93, Dist: -7.12, Survive: 2.25, HP: -5.00, End: -1.70, Final: -17.00, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 56] Threat: -5.22, Dist: -5.84, Survive: 4.28, HP: -5.00, End: -1.43, Final: -12.72, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 57] Threat: -6.66, Dist: -5.93, Survive: 2.92, HP: -5.00, End: -1.61, Final: -15.79, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 58] Threat: -3.75, Dist: -3.69, Survive: 3.59, HP: -5.00, End: -1.52, Final: -9.88, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 59] Threat: -4.74, Dist: -4.16, Survive: 3.74, HP: -5.00, End: -1.50, Final: -11.16, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 60] Threat: -3.93, Dist: -6.36, Survive: 3.67, HP: -5.00, End: -1.51, Final: -12.64, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 61] Threat: -6.81, Dist: -6.75, Survive: 2.00, HP: -5.00, End: -1.73, Final: -17.79, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 62] Threat: -3.64, Dist: -4.94, Survive: 3.59, HP: -5.00, End: -1.52, Final: -11.02, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 63] Threat: -8.77, Dist: -3.95, Survive: 2.44, HP: -5.00, End: -1.67, Final: -16.45, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 64] Threat: -4.97, Dist: -5.75, Survive: 3.43, HP: -5.00, End: -1.54, Final: -13.33, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 65] Threat: -7.44, Dist: -6.01, Survive: 2.71, HP: -5.00, End: -1.64, Final: -16.88, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 66] Threat: -3.63, Dist: -6.77, Survive: 3.34, HP: -5.00, End: -1.55, Final: -13.12, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 67] Threat: -3.13, Dist: -6.94, Survive: 4.92, HP: -5.00, End: -1.34, Final: -10.99, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 68] Threat: -2.98, Dist: -3.96, Survive: 1.91, HP: -5.00, End: -1.75, Final: -11.28, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 69] Threat: -4.53, Dist: -5.31, Survive: 4.94, HP: -5.00, End: -1.34, Final: -10.75, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 70] Threat: -6.56, Dist: -5.27, Survive: 3.75, HP: -5.00, End: -1.50, Final: -14.07, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 71] Threat: -3.53, Dist: -3.69, Survive: 3.61, HP: -5.00, End: -1.52, Final: -9.63, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 72] Threat: -8.34, Dist: -6.74, Survive: 3.50, HP: -5.00, End: -1.53, Final: -17.62, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 73] Threat: -4.61, Dist: -4.72, Survive: 4.23, HP: -5.00, End: -1.44, Final: -11.04, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 74] Threat: -3.54, Dist: -2.47, Survive: 3.74, HP: -5.00, End: -1.50, Final: -8.28, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 75] Threat: -3.69, Dist: -4.94, Survive: 7.98, HP: -5.00, End: -0.94, Final: -6.09, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 76] Threat: -4.89, Dist: -4.85, Survive: 3.35, HP: -5.00, End: -1.55, Final: -12.46, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
